DZ_B01_PAST: -903.03><-147.071><-517.448><146.648><1><
DZ_TOWER01: -665.028><-88.5714><-285.448><146.648><1><
DZ_TOWER02: -666.03><278.43><-291.448><481.648><1><
DZ_TWR_CROSS: -676.029><97.9287><-297.448><359.648><1><
DZ_BRDG: -357.03><103.929><-149.448><364.648><1><
DZ_C01: -66><-3><164.552><197.648><1><
DZ_TUBS: 75><-126><291.552><210.648><1><
DZ_A01: 1161><-174><479.552><171.648><1><
DZ_VATS: 884.97><-289.071><617.552><154.648><1><
DZ_TWR: 591.972><-212.571><591.552><261.648><1><
DZ_SWR: -276><-234><-77.4476><81.6476><1><
DZ_D01: 90><-231><36.5524><89.6476><1><
DZ_TWOPIPE: -15><-336><-28.4476><-47.3524><1><
DZ_DRAIN: 120><-438><2.5524><-162.352><1><
DZ_A02: 153><-540><69.9524><-293.952><1><
DZ_A03: 336><-438><220.952><-160.952><1><
DZ_B01: 558><-438><0><-70><0><
DZ_pipe07: 18><-642><-48.0476><-428.952><1><
DZ_pipe09: -123><-714><-165.048><-450.952><1><
DZ_pipe02: -201><-816><-273.048><-573.952><1><
DZ_B09_PAST: -507><-813><-512.048><-574.952><1><
OffScreenDen_DZ: -664.029><-156.572><170.552><26.6476><1><
Connection: DZ_B01_PAST,DZ_TOWER01,104,16,3,19,0,2
Connection: DZ_TOWER01,DZ_TWR_CROSS,35,60,29,5,0,3
Connection: DZ_TOWER01,DZ_SWR,43,34,7,31,0,1
Connection: DZ_TOWER02,DZ_TWR_CROSS,33,46,29,34,0,1
DZ_D01: -283.3091><-329.8908><-946.624><-294.6859><1><><196><35
DZ_A24: 166.6909><351.1092><1213.824><515.6666><1><><54><75
DZ_EDGE03: 276.6909><351.1092><1726.824><805.6666><1><><198><72
DZ_stronghold1: 386.6909><351.1092><1379.824><601.6666><1><><48><35
DZ_stronghold2: 496.6909><351.1092><1528.824><506.6666><1><><48><35
DZ_stronghold3: 606.6909><351.1092><1523.824><625.6666><1><><98><35
DZ_ADOG1: 716.6909><351.1092><377.8236><371.6666><1><><48><35
DZ_ADOG2: 826.6909><351.1092><359.8236><491.6666><1><><56><35
DZ_ADOG3: -273.3091><301.1092><-9.176392><292.6666><1><><48><35
DZ_CDOG1: -163.3091><301.1092><366.8236><623.6666><1><><48><155
DZ_DDOG1: -53.30914><301.1092><-497.1764><-479.3334><1><><100><78
DZ_D02: 56.69086><301.1092><-97.17639><-132.3334><1><><204><35
DZ_noc1: 166.6909><301.1092><-255.1764><-387.3334><1><><100><35
DZ_noc2: 276.6909><301.1092><45.82361><-480.3334><1><><48><75
DZ_noc3: 386.6909><301.1092><274.8236><-445.3334><1><><48><35
DZ_noc4: 496.6909><301.1092><685.8236><126.6666><1><><48><35
DZ_noc5: 606.6909><301.1092><-192.1764><498.6666><1><><256><35
DZ_noc6: 716.6909><301.1092><460.8236><-438.3334><1><><53><35
DZ_noc7: 826.6909><301.1092><-299.1764><-152.3334><1><><70><35
DZ_noc8: -273.3091><251.1092><673.8236><-95.33344><1><><54><72
DZ_B08: -53.30914><251.1092><907.8236><-297.3334><1><><110><35
DZ_C04_PAST: 166.6909><251.1092><529.8236><-261.3334><1><><160><35
DZ_C06_PAST: 276.6909><251.1092><-327.1764><300.6666><1><><48><120
